"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C6,C10,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
2;"H2,H1";"MountingHole_3.2mm_M3_ISO14580";2;"MountingHole";;;
3;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
4;"C1,C9,C11,C5,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
5;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1K";;;
6;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED_Small";;;
7;"R6,R4,R10,R3,R5,R8,R9,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"56K";;;
8;"J2,J3,J5,J4";"USB_C_Plug_UTC009-C12";4;"USB_C_Receptacle_USB2.0";;;
9;"C2,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
10;"U1";"SOIC-16_4.55x10.3mm_P1.27mm";1;"SL2.1A";;;
11;"D1";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"SD1206T020S1R0";;;
12;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
